Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Disease	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation	BC --> Cell ID _OR_ BC --> Cluster ID	Number individuals
Shi et al bioRxiv	10.1101/2020.01.05.895052	Jianwu Shi, Mengmeng Sang, Gangcai Xie, Hao Chen	bioRxiv	The landscape of mouse epididymal cells defined by the single-cell RNA-Seq	20200106	10.1101/2020.01.05.895052	12,597	Mouse	Epididymis	GEXSCOPE	""	""	RNA-seq	""	""	""	""	7	""	""	""	""	""	""	""	""	
Cillo et al Immunity	10.1016/j.immuni.2019.11.014	Anthony R. Cillo, Cornelius H.L. Kürten, Tracy Tabib, Zengbiao Qi, Sayali Onkar, Ting Wang, Angen Liu, Umamaheswar Duvvuri, Seungwon Kim, Ryan J. Soose, Steffi Oesterreich, Wei Chen, Robert Lafyatis, Tullia C. Bruno, Robert L. Ferris, Dario A.A. Vignali	Immunity	Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer	20200107	""	131,224	Human	Neck	Chromium	GSE139324	""	RNA-seq	CD45+ around HNSSC	""	HPV-, HPV+, healthy	""		""	""	""	""	""	""	""	""	
Delacher ett al Immunity	10.1016/j.immuni.2019.12.002	Michael Delacher, Charles D. Imbusch, Agnes Hotz-Wagenblatt, Jan-Philipp Mallm, Katharina Bauer, Malte Simon, Dania Riegel, André F. Rendeiro, Sebastian Bittner, Lieke Sanderink, Asmita Pant, Lisa Schmidleithner, Kathrin L. Braband, Bernd Echtenachter, Alexander Fischer, Valentina Giunchiglia, Petra Hoffmann, Matthias Edinger, Christoph Bock, Michael Rehli, Benedikt Brors, Christian Schmidl, Markus Feuerer	Immunity	Precursors for Nonlymphoid-Tissue Treg Cells Reside in Secondary Lymphoid Organs and Are Programmed by the Transcription Factor BATF	20200107	""	""	Mouse	Spleen	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Yang et al bioRxiv	10.1101/2020.01.06.895987	Runwei Yang, Guanglong Huang, Jinglin Guo, Yaomin Li, Haimin Song, Kaishu Li, Guozhong Yi, Zhiying Lin, Xiran Wang, Sidi Xie, Zhifeng Liu, Xiaofeng Shi, Ke Li, Songtao Qi, Yawei Liu	bioRxiv	Discovery of peculiar cells in the peri-tumoral regions and peripheral blood of glioblastoma patients by single cell RNA-sequencing	20200107	10.1101/2020.01.06.895987	72,620	Human	Tumor, Blood	Chromium	""	""	RNA-seq	PBMCs, GLM cells	""	""	""		""	""	""	""	""	""	""	""	
Wang et al NCB	10.1038/s41556-019-0446-7	Li Wang, Peng Yu, Bingying Zhou, Jiangping Song, Zheng Li, Mingzhi Zhang, Guangran Guo, Yin Wang, Xiao Chen, Leng Han, Shengshou Hu	Nat Cell Biol	Single-cell reconstruction of the adult human heart during heart failure and recovery reveals the cellular landscape underlying cardiac function	20200108	""	21,422	Human	Heart	""	GSE109816	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Liu et al Blood	10.1182/blood.2019003886	Pengpeng Liu, Xiangyu Pan, Chong Chen, Ting Niu, Xiao Shuai, Jian Wang, Xuelan Chen, Jiazhuo Liu, Yong Guo, Liping Xie, Yu Wu, Yu Liu, Ting Liu	Blood	Nivolumab treatment of relapsed/refractory Epstein-Barr virus–associated hemophagocytic lymphohistiocytosis in adults	20200108	""	""	Human	""	Chromium	GSE138504	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Yi et al SBulletin	10.1016/j.scib.2020.01.002	Gang Yi, Yi Zhao, Feng Xie, Fuxiang Zhu, Ziyun Wan, Jingwan Wang, Xie Wang, Kai Gao, Lixia Cao, Xinyang Li, Chen Chen, Yashu Kuang, Xiu Qiu, Huanming Yang, Jian Wang, Bing Su, Lei Chen, Wei Zhang, Yong Hou, Xun Xu, Yinyan He, Andy Tsun, Xiao Liu, Bin Li	Science Bulletin	Single-cell RNA-seq unveils critical regulators of human FOXP3+ regulatory T cell stability	20200108	""	""	Human	""	""	""	""	RNA-seq	Treg cells	""	""	""		""	""	""	""	""	""	""	""	
Chen et al eNeuro	10.1523/ENEURO.0345-19.2019	Qiyu Chen, Dena Leshkowitz, Janna Blechman, Gil Levkowitz	eNeuro	Single-Cell Molecular and Cellular Architecture of the Mouse Neurohypophysis	20200108	""	528	Mouse	Brain	Chromium	GSE135704	""	RNA-seq	Neurohypophysis	""	""	3-month-old	7	""	""	""	""	""	""	""	""	
Juiz et al bioRxiv	10.1101/2020.01.07.897454	Natalia Juiz, Abdessamad Elkaoutari, Martin Bigonnet, Odile Gayet, Julie Roques, Rémy Nicolle, Juan Iovanna, Nelson Dusetti	bioRxiv	Basal-like and Classical cells coexistence in pancreatic cancer revealed by single cell analysis	20200109	10.1101/2020.01.07.897454	8,934	Human	Pancreas	SPLiT-seq	""	""	RNA-seq	""	""	""	""		Yes	""	""	""	""	""	""	""	
Byrne et al JEM	10.1084/jem.20191236	Adam J. Byrne, Joseph E. Powell, Brendan J. O’Sullivan, Patricia P. Ogger, Ashley Hoffland, James Cook, Katie L. Bonner, Richard J. Hewitt, Simone Wolf, Poonam Ghai, Simone A. Walker, Samuel W. Lukowski, Philip L. Molyneaux, Sejal Saglani, Daniel C. Chambers, Toby M. Maher, Clare M. Lloyd	Journal of Experimental Medicine	Dynamics of human monocytes and airway macrophages during healthy aging and after transplant	20200109	""	""	Human	Lung	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Guo et al CSC	10.1016/j.stem.2019.12.005	Jingtao Guo, Xichen Nie, Maria Giebler, Hana Mlcochova, Yueqi Wang, Edward J. Grow, Robin Kim, Melissa Tharmalingam, Gabriele Matilionyte, Cecilia Lindskog, Douglas T. Carrell, Rod T. Mitchell, Anne Goriely, James M. Hotaling, Bradley R. Cairns	Cell Stem Cell	The Dynamic Transcriptional Cell Atlas of Testis Development during Human Puberty	20200109	""	""	Human	Testis	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Rosado-Olivieri et al CMetabolism	10.1016/j.cmet.2019.12.009	Edwin A. Rosado-Olivieri, Idil I. Aigha, Jennifer H. Kenty, Douglas A. Melton	Cell Metabolism	Identification of a LIF-Responsive, Replication-Competent Subpopulation of Human β Cells	20200109	""	""	Human	Pancreas	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Cruceanu et al bioRxiv	10.1101/2020.01.09.897868	Cristiana Cruceanu, Leander Dony, Anthi C Kontira, David S Fischer, Simone Roeh, Rossella Di Giaimo, Christina Kyrousi, Janine Arloth, Darina Czamara, Silvia Martinelli, Stephanie Wehner, Michael S Breen, Maik Koedel, Susann Sauer, Monika Rex-Haffner, Silvia Cappello, Fabian J Theis, Elisabeth Binder	bioRxiv	Cell-type specific impact of glucocorticoid receptor activation on the developing brain	20200110	10.1101/2020.01.09.897868	""	Human	Culture	""	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Fujimoto et al bioRxiv	10.1101/2020.01.09.900241	Noriki Fujimoto, Yuliang He, Marco D’Addio, Carlotta Tacconi, Michael Detmar, Lothar C. Dieterich	bioRxiv	Single-cell mapping reveals new markers and functions of lymphatic endothelial cells in lymph nodes	20200110	10.1101/2020.01.09.900241	893	Mouse	Lymph node	Smart-seq2	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Uhlitz et al bioRxiv	10.1101/2020.01.10.901579	Florian Uhlitz, Philip Bischoff, Anja Sieber, Benedikt Obermayer, Eric Blanc, Mareen Lüthen, Birgit Sawitzki, Carsten Kamphues, Dieter Beule, Christine Sers, David Horst, Nils Blüthgen, Markus Morkel	bioRxiv	A census of cell types and paracrine interactions in colorectal cancer	20200112	10.1101/2020.01.10.901579	50,000	Human	Colon	Chromium	""	""	RNA-seq	Colorectal cancer cells	""	Tumor vs Normal	""		Yes	Yes	Yes	Yes	No	""	""	""	
Volden et al bioRxiv	10.1101/2020.01.10.902361	Roger Volden, Christopher Vollmers	bioRxiv	Highly Multiplexed Single-Cell Full-Length cDNA Sequencing of human immune cells with 10X Genomics and R2C2	20200112	10.1101/2020.01.10.902361	3,000	Human	Blood	R2C2	PRJNA599962	""	RNA-seq	PBMCs	""	""	""	3	Yes	No	No	""	Yes	""	""	""	
Zhong et al BBB	10.1080/09168451.2020.1714420	Shan Zhong, Mengdi Wang, Yaxi Zhan, Jie Zhang, Xiaoli Yang, Shumei Fu, Danlei Bi, Feng Gao, Yong Shen, Zuolong Chen	Bioscience, Biotechnology, and Biochemistry	Single-nucleus RNA sequencing reveals transcriptional changes of hippocampal neurons in APP23 mouse model of Alzheimer’s disease	20200113	""	3,280	Mouse	Brain	STRT-seq	GSE141044	""	RNA-seq	Hippocampal neurons	""	""	""		""	""	""	""	""	""	""	""	
Zhou et al NMedicine	10.1038/s41591-019-0695-9	Yingyue Zhou, Wilbur M. Song, Prabhakar S. Andhey, Amanda Swain, Tyler Levy, Kelly R. Miller, Pietro L. Poliani, Manuela Cominelli, Shikha Grover, Susan Gilfillan, Marina Cella, Tyler K. Ulland, Konstantin Zaitsev, Akinori Miyashita, Takeshi Ikeuchi, Makoto Sainouchi, Akiyoshi Kakita, David A. Bennett, Julie A. Schneider, Michael R. Nichols, Sean A. Beausoleil, Jason D. Ulrich, David M. Holtzman, Maxim N. Artyomov, Marco Colonna	Nat Med	Human and mouse single-nucleus transcriptomics reveal TREM2-dependent and TREM2-independent cellular responses in Alzheimer’s disease	20200113	""	73,419	Human, Mouse	Brain	Chromium	syn21125841	""	RNA-seq	Microglia	""	""	""	11	Yes	No	No	Yes	Yes	""	""	""	22
Jost et al NBT	10.1038/s41587-019-0387-5	Marco Jost, Daniel A. Santos, Reuben A. Saunders, Max A. Horlbeck, John S. Hawkins, Sonia M. Scaria, Thomas M. Norman, Jeffrey A. Hussmann, Christina R. Liem, Carol A. Gross, Jonathan S. Weissman	Nat Biotechnol	Titrating gene expression using libraries of systematically attenuated CRISPR guide RNAs	20200113	""	19,587	Human	Culture	Perturb-seq	GSE132080	""	RNA-seq	K562 cells	""	25 gene screen	""		""	""	""	""	""	""	""	""	
Chan-Seng-Yue et al NGenetics	10.1038/s41588-019-0566-9	Michelle Chan-Seng-Yue, Jaeseung C. Kim, Gavin W. Wilson, Karen Ng, Eugenia Flores Figueroa, Grainne M. O’Kane, Ashton A. Connor, Robert E. Denroche, Robert C. Grant, Jessica McLeod, Julie M. Wilson, Gun Ho Jang, Amy Zhang, Anna Dodd, Sheng-Ben Liang, Ayelet Borgida, Dianne Chadwick, Sangeetha Kalimuthu, Ilinca Lungu, John M. S. Bartlett, Paul M. Krzyzanowski, Vandana Sandhu, Hervé Tiriac, Fieke E. M. Froeling, Joanna M. Karasinska, James T. Topham, Daniel J. Renouf, David F. Schaeffer, Steven J. M. Jones, Marco A. Marra, Janessa Laskin, Runjan Chetty, Lincoln D. Stein, George Zogopoulos, Benjamin Haibe-Kains, Peter J. Campbell, David A. Tuveson, Jennifer J. Knox, Sandra E. Fischer, Steven Gallinger, Faiyaz Notta	Nat Genet	Transcription phenotypes of pancreatic cancer are driven by genomic events during tumor evolution	20200113	""	""	Human	Pancreas, Tumor	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Goveia et al CCell	10.1016/j.ccell.2019.12.001	Jermaine Goveia, Katerina Rohlenova, Federico Taverna, Lucas Treps, Lena-Christin Conradi, Andreas Pircher, Vincent Geldhof, Laura P.M.H. de Rooij, Joanna Kalucka, Liliana Sokol, Melissa García-Caballero, Yingfeng Zheng, Junbin Qian, Laure-Anne Teuwen, Shawez Khan, Bram Boeckx, Els Wauters, Herbert Decaluwé, Paul De Leyn, Johan Vansteenkiste, Birgit Weynand, Xavier Sagaert, Erik Verbeken, Albert Wolthuis, Baki Topal, Wouter Everaerts, Hanibal Bohnenberger, Alexander Emmert, Dena Panovska, Frederik De Smet, Frank J.T. Staal, Rene J. Mclaughlin, Francis Impens, Vincenzo Lagani, Stefan Vinckier, Massimiliano Mazzone, Luc Schoonjans, Mieke Dewerchin, Guy Eelen, Tobias K. Karakach, Huanming Yang, Jian Wang, Lars Bolund, Lin Lin, Bernard Thienpont, Xuri Li, Diether Lambrechts, Yonglun Luo, Peter Carmeliet	Cancer Cell	An Integrated Gene Expression Landscape Profiling Approach to Identify Lung Tumor Endothelial Cell Heterogeneity and Angiogenic Candidates	20200113	""	""	Human	Lung	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Kurppa et al CCell	10.1016/j.ccell.2019.12.006	Kari J. Kurppa, Yao Liu, Ciric To, Tinghu Zhang, Mengyang Fan, Amir Vajdi, Erik H. Knelson, Yingtian Xie, Klothilda Lim, Paloma Cejas, Andrew Portell, Patrick H. Lizotte, Scott B. Ficarro, Shuai Li, Ting Chen, Heidi M. Haikala, Haiyun Wang, Magda Bahcall, Yang Gao, Sophia Shalhout, Steffen Boettcher, Bo Hee Shin, Tran Thai, Margaret K. Wilkens, Michelle L. Tillgren, Mierzhati Mushajiang, Man Xu, Jihyun Choi, Arrien A. Bertram, Benjamin L. Ebert, Rameen Beroukhim, Pratiti Bandopadhayay, Mark M. Awad, Prafulla C. Gokhale, Paul T. Kirschmeier, Jarrod A. Marto, Fernando D. Camargo, Rizwan Haq, Cloud P. Paweletz, Kwok-Kin Wong, David A. Barbie, Henry W. Long, Nathanael S. Gray, Pasi A. Jänne	Cancer Cell	Treatment-Induced Tumor Dormancy through YAP-Mediated Transcriptional Reprogramming of the Apoptotic Pathway	20200113	""	""	Human	Lung, Tumor	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Schafflick et al NCommunications	10.1038/s41467-019-14118-w	David Schafflick, Chenling A. Xu, Maike Hartlehnert, Michael Cole, Andreas Schulte-Mecklenbeck, Tobias Lautwein, Jolien Wolbert, Michael Heming, Sven G. Meuth, Tanja Kuhlmann, Catharina C. Gross, Heinz Wiendl, Nir Yosef, Gerd Meyer zu Horste	Nat Commun	Integrated single cell analysis of blood and cerebrospinal fluid leukocytes in multiple sclerosis	20200114	10.1101/403527	65,326	Human	Spine	Chromium	GSE138266	""	RNA-seq	Cerebrospinal fluid	Multiple sclerosis	""	""	17	""	""	""	""	""	""	""	""	10
Rubenstein et al SReports	10.1038/s41598-019-57110-6	Aliza B. Rubenstein, Gregory R. Smith, Ulrika Raue, Gwénaëlle Begue, Kiril Minchev, Frederique Ruf-Zamojski, Venugopalan D. Nair, Xingyu Wang, Lan Zhou, Elena Zaslavsky, Todd A. Trappe, Scott Trappe, Stuart C. Sealfon	Sci Rep	Single-cell transcriptional profiles in human skeletal muscle	20200114	""	3,479	Human, Mouse	Skeletal muscle	Chromium	GSE130977, GSE130646, GSE138707	""	RNA-seq	Mononuclear muscle cells	""	""	""	11	Yes	No	No	Yes	Yes	""	""	""	
Gillotay et al bioRxiv	10.1101/2020.01.13.891630	Pierre Gillotay, Meghna Shankar, Sema Elif Eski, Susanne Reinhardt, Annekathrin Kränkel, Juliane Bläsche, Andreas Petzold, Gokul Kesavan, Christian Lange, Michael Brand, Vincent Detours, Sabine Costagliola, Sumeet Pal Singh	bioRxiv	Single-cell transcriptome analysis reveals cell-cell communication and thyrocyte diversity in the zebrafish thyroid gland	20200114	10.1101/2020.01.13.891630	""	Zebrafish	""	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Zhong et al Nature	10.1038/s41586-019-1917-5	Suijuan Zhong, Wenyu Ding, Le Sun, Yufeng Lu, Hao Dong, Xiaoying Fan, Zeyuan Liu, Ruiguo Chen, Shu Zhang, Qiang Ma, Fuchou Tang, Qian Wu, Xiaoqun Wang	Nature	Decoding the development of the human hippocampus	20200115	""	30,416	Human	Brain	Chromium	GSE131258	""	RNA-seq	Hippocampus	""	""	GW16, GW18, GW20, GW22, GW25, GW27	47	Yes	Yes	No	Yes	Yes	""	""	""	
Massoni-Badosa et al bioRxiv	10.1101/2020.01.15.897066	Ramon Massoni-Badosa, Giovanni Iacono, Catia Moutinho, Marta Kulis, Núria Palau, Domenica Marchese, Javier Rodríguez-Ubreva, Esteban Ballestar, Gustavo Rodriguez-Esteban, Sara Marsal, Marta Aymerich, Dolors Colomer, Elias Campo, Antonio Julià, José Ignacio Martín-Subero, Holger Heyn	bioRxiv	Sampling artifacts in single-cell genomics cohort studies	20200115	10.1101/2020.01.15.897066	66,136	Human	Blood	Chromium	""	""	RNA-seq	PBMCs	""	Healthy vs CLL, preserved after 0h, 2h, 4h, 8h, 24h, 48h	""	4	Yes	No	No	Yes	Yes	""	""	""	
Cho et al bioRxiv	10.1101/2020.01.15.908350	Bumsik Cho, Sang-Ho Yoon, Daewon Lee, Ferdinand Koranteng, Sudhir Gopal Tattikota, Nuri Cha, Mingyu Shin, Hobin Do, Yanhui Hu, Sue Young Oh, Seok Jun Moon, Norbert Perrimon, Jin-Wu Nam, Jiwon Shim	bioRxiv	Single-cell transcriptome maps of myeloid blood cell lineages in Drosophila	20200116	10.1101/2020.01.15.908350	35,173	Drosophila	Lymph gland	Drop-seq	GSE141275	""	RNA-seq	Hemocytes	""	""	72h AEL, 96h AEL, 120h AEL	32	Yes	Yes	No	No	Yes	""	""	""	
Faustino Martins et al CSC	10.1016/j.stem.2019.12.007	Jorge-Miguel Faustino Martins, Cornelius Fischer, Alessia Urzi, Ramon Vidal, Severine Kunz, Pierre-Louis Ruffault, Loreen Kabuss, Iris Hube, Elisabeta Gazzerro, Carmen Birchmeier, Simone Spuler, Sascha Sauer, Mina Gouti	Cell Stem Cell	Self-Organizing 3D Human Trunk Neuromuscular Organoids	20200116	""	""	Human	Organoid	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Waldman et al Cell	10.1016/j.cell.2019.12.013	Benjamin S. Waldman, Dominic Schwarz, Marc H. Wadsworth, Jeroen P. Saeij, Alex K. Shalek, Sebastian Lourido	Cell	Identification of a Master Regulator of Differentiation in Toxoplasma	20200116	""	26,560	Toxoplasma gondii	""	Seq-Well	GSE132250	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Adamo et al JCIInsight	10.1172/jci.insight.134700	Luigi Adamo, Cibele Rocha-Resende, Chieh-Yu Lin, Sarah Evans, Jesse Williams, Hao Dun, Wenjun Li, Cedric Mpoy, Prabhakar S. Andhey, Buck E. Rogers, Kory Lavine, Daniel Kreisel, Maxim Artyomov, Gwendalyn J. Randolph, Douglas L. Mann	JCI Insight	Myocardial B cells are a subset of circulating lymphocytes with delayed transit through the heart	20200116	""	""	Mouse	Blood, Heart	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Sierksma et al EMMM	10.15252/emmm.201910606	Annerieke Sierksma, Ashley Lu, Renzo Mancuso, Nicola Fattorelli, Nicola Thrupp, Evgenia Salta, Jesus Zoco, David Blum, Luc Buée, Bart De Strooper, Mark Fiers	EMBO Mol Med	Novel Alzheimer risk genes determine the microglia response to amyloid‐β but not to TAU pathology	20200117	""	""	Mouse	Brain	Chromium	GSE142267	""	RNA-seq	Microglia	""	""	""		""	""	""	""	""	""	""	""	
Yu et al bioRxiv	10.1101/2020.01.19.911701	Kai Yu, Yuqiong Hu, Fan Wu, Qiufang Guo, Zenghui Qian, Waner Hu, Jing Chen, Kuanyu Wang, Xiaoying Fan, Xinglong Wu, John EJ Rasko, Xiaolong Fan, Antonio Iavarone, Tao Jiang, Fuchou Tang, Xiao-Dong Su	bioRxiv	Surveying Brain Tumor Heterogeneity by Single-Cell RNA Sequencing of Multi-sector Biopsies	20200120	10.1101/2020.01.19.911701	5,603	Human	Brain	""	""	""	RNA-seq	""	High-grade glioma, Low grade glioma	HGG vs LGG vs non-Tumor	""		""	""	""	""	""	""	""	""	
Perlman et al Glia	10.1002/glia.23777	Kelly Perlman, Charles P. Couturier, Moein Yaqubi, Arnaud Tanti, Qiao‐Ling Cui, Florian Pernin, Jo Anne Stratton, Jiannis Ragoussis, Luke Healy, Kevin Petrecca, Roy Dudley, Myriam Srour, Jeffrey A. Hall, Timothy E. Kennedy, Naguib Mechawar, Jack P. Antel	Glia	Developmental trajectory of oligodendrocyte progenitor cells in the human brain revealed by single cell RNA sequencing	20200120	""	37,985	Human	Brain	Chromium	""	""	RNA-seq	White matter cortical resections, fetal telencephalon; Oligodendrocyte progenitor cells	""	""	Second trimester, 2 years, 13 years, 58 years, 62 years	3	Yes	Yes	No	Yes	No	""	""	""	9
Kim et al NMedicine	10.1038/s41591-019-0733-7	Doyoung Kim, Tetsuro Kobayashi, Benjamin Voisin, Jay-Hyun Jo, Keiko Sakamoto, Seon-Pil Jin, Michael Kelly, Helena B. Pasieka, Jessica L. Naff, Jon H. Meyerle, Ijeoma D. Ikpeama, Gary A. Fahle, Fred P. Davis, Sergio D. Rosenzweig, Julie C. Alejo, Stefania Pittaluga, Heidi H. Kong, Alexandra F. Freeman, Keisuke Nagao	Nat Med	Targeted therapy guided by single-cell transcriptomic analysis in drug-induced hypersensitivity syndrome: a case report	20200120	""	54,476	Human	Blood, Skin	Chromium	GSE132802	""	RNA-seq	PBMCs, Skin biopsies	DiH DRESS	Healthy volunteers vs DiH-DRESS patient, pre- and post treatment	""		""	""	""	""	Yes	""	""	Not available	
Wang et al NMicrobiology	10.1038/s41564-019-0633-0	Ya-Ting Wang, Konstantin Zaitsev, Qun Lu, Shan Li, W. Timothy Schaiff, Ki-Wook Kim, Lindsay Droit, Craig B. Wilen, Chandni Desai, Dale R. Balce, Robert C. Orchard, Anthony Orvedahl, Sunmin Park, Darren Kreamalmeyer, Scott A. Handley, John D. Pfeifer, Megan T. Baldridge, Maxim N. Artyomov, Christina L. Stallings, Herbert W. Virgin	Nat Microbiol	Select autophagy genes maintain quiescence of tissue-resident macrophages and increase susceptibility to Listeria monocytogenes	20200120	""	""	Mouse	Blood, Liver, Lung, Spleen	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Nickolls et al CReports	10.1016/j.celrep.2019.12.062	Alec R. Nickolls, Michelle M. Lee, David F. Espinoza, Marcin Szczot, Ruby M. Lam, Qi Wang, Jeanette Beers, Jizhong Zou, Minh Q. Nguyen, Hans J. Solinski, Aisha A. AlJanahi, Kory R. Johnson, Michael E. Ward, Alexander T. Chesler, Carsten G. Bönnemann	Cell Reports	Transcriptional Programming of Human Mechanosensory Neuron Subtypes from Pluripotent Stem Cells	20200121	""	37,808	Human	Culture	Chromium	GSE139409	""	RNA-seq	Induced sensory neurons	""	""	""		""	""	""	""	No	""	""	""	
Tan et al Development	10.1242/dev.183251	Kun Tan, Hye-Won Song, Miles F. Wilkinson	Development	Single-cell RNAseq analysis of testicular germ and somatic cell development during the perinatal period	20200121	""	""	Mouse	Testis	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Vigneron et al PNAS	10.1073/pnas.1914423117	Aurélien Vigneron, Michelle B. O’Neill, Brian L. Weiss, Amy F. Savage, Olivia C. Campbell, Shaden Kamhawi, Jesus G. Valenzuela, Serap Aksoy	Proc Natl Acad Sci USA	Single-cell RNA sequencing of Trypanosoma brucei from tsetse salivary glands unveils metacyclogenesis and identifies potential transmission blocking antigens	20200121	""	2,045	Trypanosoma brucei	Whole organism	Chromium	PRJNA562204	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Post et al Cell	10.1016/j.cell.2019.11.038	Yorick Post, Jens Puschhof, Joep Beumer, Harald M. Kerkkamp, Merijn A.G. de Bakker, Julien Slagboom, Buys de Barbanson, Nienke R. Wevers, Xandor M. Spijkers, Thomas Olivier, Taline D. Kazandjian, Stuart Ainsworth, Carmen Lopez Iglesias, Willine J. van de Wetering, Maria C. Heinz, Ravian L. van Ineveld, Regina G.D.M. van Kleef, Harry Begthel, Jeroen Korving, Yotam E. Bar-Ephraim, Walter Getreuer, Anne C. Rios, Remco H.S. Westerink, Hugo J.G. Snippert, Alexander van Oudenaarden, Peter J. Peters, Freek J. Vonk, Jeroen Kool, Michael K. Richardson, Nicholas R. Casewell, Hans Clevers	Cell	Snake Venom Gland Organoids	20200123	""	1,536	Cape cobra, Cape coral snake	Culture, Liver, Pancreas, Venom gland	SORT-seq	GSE129581	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Czermiński et al DCell	10.1016/j.devcel.2019.12.015	Jan Tomasz Czermiński, Jeanne Bentley Lawrence	Developmental Cell	Silencing Trisomy 21 with XIST in Neural Stem Cells Promotes Neuronal Differentiation	20200123	""	""	Human	Culture	Chromium	GSE125838	""	RNA-seq	iPSC derived neurons	""	""	""	2	No	No	No	""	Yes	""	""	""	
Kathiriya et al CSC	10.1016/j.stem.2019.12.014	Jaymin J. Kathiriya, Alexis N. Brumwell, Julia R. Jackson, Xiaodan Tang, Harold A. Chapman	Cell Stem Cell	Distinct Airway Epithelial Stem Cells Hide among Club Cells but Mobilize to Promote Alveolar Regeneration	20200123	""	""	Mouse	Lung	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Weinrab et al Science	10.1126/science.aaw3381	Caleb Weinreb, Alejo Rodriguez-Fraticelli, Fernando D. Camargo, Allon M. Klein	Science	Lineage tracing on transcriptional landscapes links state to fate during differentiation	20200124	""	300,000	Mouse	Bone marrow	inDrops	GSE140802	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Sanchez-Taltavull et al NARGaB	10.1093/nargab/lqaa002	Daniel Sanchez-Taltavull, Theodore J Perkins, Noelle Dommann, Nicolas Melin, Adrian Keogh, Daniel Candinas, Deborah Stroka, Guido Beldi	NAR Genomics and Bioinformatics	Bayesian correlation is a robust gene similarity measure for single-cell RNA-seq data	20200124	10.1101/714824	13,000	Mouse	Liver	Chromium	GSE134134	""	RNA-seq	Hepatocytes	""	""	""	17	Yes	""	""	""	Yes	""	""	""	
Durante et al NCommunications	10.1038/s41467-019-14256-1	Michael A. Durante, Daniel A. Rodriguez, Stefan Kurtenbach, Jeffim N. Kuznetsov, Margaret I. Sanchez, Christina L. Decatur, Helen Snyder, Lynn G. Feun, Alan S. Livingstone, J. William Harbour	Nat Commun	Single-cell analysis reveals new evolutionary complexity in uveal melanoma	20200124	""	""	Human	Eye, Liver, Tumor	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Ægidius et al SReports	10.1038/s41598-020-58059-7	Helene M. Ægidius, Sanne S. Veidal, Michael Feigh, Philip Hallenborg, Michele Puglia, Tune H. Pers, Niels Vrang, Jacob Jelsing, Birgitte R. Kornum, Blagoy Blagoev, Kristoffer T. G. Rigbolt	Sci Rep	Multi-omics characterization of a diet-induced obese model of non-alcoholic steatohepatitis	20200124	""	""	Mouse	Liver	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Jackson et al eLife	10.7554/eLife.51254	Christopher A Jackson, Dayanne M Castro, Giuseppe-Antonio Saldi, Richard Bonneau, David Gresham	eLife	Gene regulatory network reconstruction using single-cell RNA sequencing of barcoded genotypes in diverse environments	20200127	""	38,225	Yeast	Whole organism	Chromium	GSE125162	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
